site,basin_areasqkm,springprev_point,springprev_basinmean,springprev_iew01km,springprev_iew05km,springprev_basinmean_log,springprev_iew01km_log,springprev_iew05km_log
2098,23.091108709776478,0.02151690050959587,0.028198022718604346,0.03899263154853111,0.03202345460168547,-3.568503419857884,-3.244382585355939,-3.4412866883610285
2099,23.33203620166309,0.030942199751734734,0.027831602157622894,0.0341626865793504,0.031174293048180382,-3.581583135657525,-3.3766212662177892,-3.468161464555908
2100,23.47558984318836,0.12986299395561218,0.028789119275672615,0.040136691771915846,0.0327116673388033,-3.5477577661537776,-3.2154643562521903,-3.4200234653648987
2101,23.54182670651731,0.06900279968976974,0.02934242326447555,0.04284470744404152,0.03358873730115392,-3.5287209171599634,-3.1501731551247336,-3.393564467575264
2102,23.610894205029577,0.12653100490570068,0.029708898938241832,0.04286449075743584,0.03406300488372329,-3.516308650502623,-3.149711517070457,-3.379543384394078
2103,23.781379318459123,0.06644939631223679,0.03006834397449138,0.04248333182491188,0.03447399524479463,-3.5042823558463785,-3.158643472334316,-3.3675500001859384
2104,23.987126058761685,0.053896598517894745,0.03009331402304743,0.04004170495937186,0.0342516251647499,-3.503452257380977,-3.217833744038786,-3.3740212653339308
2105,24.112563635103793,0.05871500074863434,0.03007005875243195,0.037894376656343834,0.033942950592948516,-3.504225328128206,-3.272952551085686,-3.3830740873934926
2106,24.346050600215047,0.07103420048952103,0.030116058007262324,0.03689006878309366,0.033820749791354646,-3.502696760868399,-3.299812902829516,-3.3866807656996594
2107,2.191073383764369,0.007517669815570116,0.005780843592972171,0.005612768497147236,0.005747199927967092,-5.153205656606359,-5.182711187922655,-5.159042511830014
2108,2.393018985390825,0.006468790117651224,0.004933364294372034,0.0047575421712940475,0.00489571448818803,-5.311734111013648,-5.348024094662148,-5.319395050793589
2109,2.561724842415882,0.027976199984550476,0.005303860247283982,0.005370019525959205,0.005309340136949337,-5.23932037499699,-5.226923734348942,-5.2382877194446715
2110,18.059856856684537,0.006628490053117275,0.015983162200755123,0.014710835636549395,0.015755975945941008,-4.136219473317319,-4.219170938602976,-4.150535560534899
2111,19.384836749134823,0.13619999587535858,0.016221750482420014,0.016393606926344256,0.01614774122967209,-4.121402314883668,-4.110863841716537,-4.125975101034873
2112,19.812020036195083,0.11971399933099747,0.017399220658854332,0.02258432155391336,0.017963279755551533,-4.051329863485758,-3.7904993500029547,-4.0194256183284285
2113,19.879712654761597,0.09529349952936172,0.017490206052399086,0.022660379269400416,0.018090882862703953,-4.04611420886613,-3.787137286126034,-4.01234717685735
2114,65.60530818133971,0.10014999657869339,0.02659789820870949,0.03399931549193988,0.025963774978966635,-3.62692308102648,-3.3814148871586425,-3.651052982503584
2115,66.60800003915831,0.10815799981355667,0.02673934867504057,0.03549114792573799,0.026389796625766005,-3.6216190653072906,-3.3384719677992596,-3.6347778349851936
2116,66.84164875484511,0.03586120158433914,0.026830028085104426,0.03521598774406561,0.026616885652548987,-3.618233567765263,-3.346255102219854,-3.626209465626114
2117,66.86866110204168,0.05553760007023811,0.026825399621378903,0.034650546163763084,0.026623484688283624,-3.6184060932276383,-3.3624417911684836,-3.6259615696882688
2118,68.36744199485442,0.046468399465084076,0.026677295783773373,0.03297559470612314,0.02641865220715942,-3.623942420501509,-3.411987545480793,-3.63368499530128
2119,68.4120851554875,0.04445920139551163,0.026673620741596977,0.03236494621232347,0.026446707834811553,-3.6240801891631014,-3.4306793488947895,-3.632623595917497
2120,68.45462555855224,0.11071500182151794,0.026754812171547085,0.03358411344675402,0.026683286061818388,-3.6210409275557116,-3.393702137909505,-3.6237178997836685
2121,69.1139209307904,0.13661499321460724,0.026914406672593774,0.03566077483565754,0.027109660249773907,-3.6150935717006347,-3.3337039383575835,-3.6078651478343455
2122,69.34360675723693,0.043233901262283325,0.027059017930186988,0.03715352194375653,0.02751040800532521,-3.6097349492045443,-3.2926967089806545,-3.5931908729915047
2123,70.97567012959132,0.035586100071668625,0.027063852954600346,0.03539686179064645,0.027526392813570815,-3.609556280765595,-3.341132112753789,-3.592609995889012
2124,3.23501164009e-4,0.03809009864926338,0.030960699543356895,0.030996219723678053,0.030967801317720277,-3.4750366354462083,-3.4738900263302956,-3.474807281455856
2125,83.7665017776568,0.04095720127224922,0.029233365297555873,0.037165840222587676,0.031021387751844605,-3.5324445748557447,-3.2923652131608607,-3.4730783849086837
2126,83.7948081295035,0.043639399111270905,0.0292338893646194,0.03703099049856055,0.031075849559204574,-3.5324266479985127,-3.296000135870994,-3.471324302966159
2127,84.26493619609094,0.09928470104932785,0.029203448445876586,0.03588394214328627,0.0309831286050197,-3.5334684792193305,-3.32746537761261,-3.4743124611962966
2128,84.3441131059792,0.12191399931907654,0.029318300164153755,0.037950776933742734,0.031310466244205554,-3.5295433789460327,-3.2714653027876675,-3.463802852531267
2129,84.37686759883428,0.11196400225162506,0.02943428344801496,0.04016967594129017,0.03164668208654739,-3.525595180334319,-3.2146428978257076,-3.453121967275854
2130,84.42490752168965,0.10237199813127518,0.029540226740939233,0.0420681051689072,0.031954561484331644,-3.522002326182592,-3.168465422353457,-3.443440338886534
2131,92.23357861829183,0.13656200468540192,0.03095066712824426,0.04603460702834788,0.03458590155869476,-3.4753607250517136,-3.0783618386457037,-3.3643091493585584
2132,95.31727258884429,0.18077200651168823,0.03143840118010141,0.04922556785078292,0.035628034760468004,-3.459725165764401,-3.011342118702603,-3.334622457762715
2133,0.012940046560076,0.20889200270175934,0.07185609770726555,0.07337752304935155,0.07215808936879743,-2.633089802872795,-2.612137615743939,-2.628895881283445
